,file_name,mean,std,min,max
0,202208280900.nc,4769.4591753086415,1255.3113042214604,3049,7218
1,202306011230.nc,4912.874349382716,1226.688409451354,3063,7523
2,202308190350.nc,3658.337487654321,850.9528491294859,1244,7450
3,202306010640.nc,4893.338266666667,1293.5770370624118,2123,7313
4,202307111430.nc,4612.090887654321,1180.1966838498993,2841,7459
5,202306202320.nc,4840.011404938272,1185.0540720531194,2834,7723
6,202307030300.nc,4798.660148148148,1560.616465381305,975,7672
7,202206041640.nc,5648.528671604939,948.7031524035368,3347,7629
8,202209090650.nc,3929.6158074074074,1024.847635299398,1855,7341
9,202206031330.nc,4632.898822222222,958.400400408826,3170,7226
10,202207042050.nc,4607.187929629629,1002.5851850226488,3307,7705
11,202208202130.nc,4176.369356790124,1012.9151406483041,3085,7743
12,202307280850.nc,5056.351941975308,1371.8340933217137,2292,7675
13,202307070050.nc,4926.572830864197,1320.7019528235587,2415,7622
14,202306201240.nc,4927.804164197531,1101.7396091076755,3024,7638
15,202107260850.nc,4498.5431864197535,1327.2205377577777,2569,7434
16,202306131350.nc,4519.886793827161,937.6219815479444,3214,7459
17,202207152240.nc,4659.8888345679015,1083.8225542673224,3145,7718
18,202107260740.nc,4491.874997530864,1358.8912302638366,2446,7389
19,202207240830.nc,4004.009433333333,1107.531117523394,2376,7818
20,202306221700.nc,4681.1208,1144.2958771010976,2951,7371
21,202308260110.nc,4200.785837037037,1060.2339681844992,2551,7327
22,202206212210.nc,4641.418762962963,1162.6404852070648,3042,7456
23,202106052320.nc,4260.529441975309,931.5520312790281,2814,7229
24,202306250730.nc,5169.18789382716,1533.4532503405053,1776,7646
25,202307141400.nc,5075.3394592592595,1103.6894552753188,3079,7685
26,202306301730.nc,4473.234319753086,1206.1139301002656,2992,7645
27,202106120620.nc,4588.740279012346,1344.444009946421,1439,7506
28,202207281610.nc,4429.619192592592,1105.1566804100014,2935,7442
29,202207061930.nc,4555.763908641975,1128.9898602751405,3135,7594
30,202307191210.nc,4364.899493827161,1227.7466380504525,2780,7721
31,202208221830.nc,4493.5959197530865,866.26906692893,2969,7688
32,202306121320.nc,4577.6330604938275,809.5528654626921,3210,7282
33,202308111240.nc,4110.992758024691,986.3026351458774,2730,7192
34,202308152150.nc,4201.825937037037,1010.506422428866,3044,7306
35,202308050810.nc,4158.782480246914,1235.449471618904,2334,7553
36,202306270720.nc,4236.708307407407,1325.5002699314218,1330,7414
37,202209010830.nc,4211.006743209877,1143.4259990561225,2521,7404
38,202106120310.nc,4408.273285185185,1296.9849009773998,1280,7479
39,202307211740.nc,5013.972243209877,1275.6333915580744,3232,7676
40,202206210950.nc,4735.3405012345675,1277.2994006548467,2489,7512
41,202208260730.nc,4292.928245679012,1033.8610238997173,2634,7743
42,202208151920.nc,4635.081335802469,1144.9032433610107,2983,7654
43,202206270620.nc,5677.157848148148,1237.8373437587488,2818,7562
44,202206190700.nc,4430.387477777777,1561.254791388979,1282,7743
45,202208280300.nc,4447.474937037037,1166.8865358157766,1958,7183
46,202107071130.nc,5243.819407407407,1177.1540294584504,3088,7768
47,202207041110.nc,4607.466950617284,1177.4088601981773,3038,7710
48,202107101850.nc,4665.396961728395,1109.2652937569676,3183,7628
49,202208011410.nc,3842.107249382716,780.6005485055717,2941,7649
50,202107181020.nc,4299.254716049382,1126.9108019062855,2946,7566
51,202207211920.nc,4056.6696320987653,842.1581833864135,2998,7486
52,202306032340.nc,4371.305959259259,853.1651830133574,2915,6754
53,202106270740.nc,4722.414725925926,1144.092560935343,2079,7536
54,202307130100.nc,5366.720854320987,1230.918624221548,2655,7638
55,202209051810.nc,5199.962908641975,1278.6886476191762,3174,7724
56,202208260500.nc,4265.754260493827,1024.8851798687326,2200,7622
57,202106252300.nc,5195.729854320987,1127.1925226892242,3225,7405
58,202207051130.nc,4766.25617654321,1204.6962496119652,2992,7742
59,202306031140.nc,4403.580859259259,882.7799263032678,3197,6970
60,202208060850.nc,4184.596839506173,1166.9244037972921,2655,7669
61,202207150920.nc,4724.0198037037035,1283.5640682501496,2434,7726
