,file_name,mean,std,min,max
0,202208280900.nc,0.25393766,0.8147415,0.0,79.84
1,202306011230.nc,0.44423413,1.8058479,0.0,99.7
2,202308190350.nc,0.1407634,1.6095818,0.0,99.17
3,202306010640.nc,0.57864845,2.1188974,0.0,98.39
4,202307111430.nc,0.26114607,1.3407764,0.0,98.1
5,202306202320.nc,0.5987131,1.8267692,0.0,98.1
6,202307030300.nc,1.1461813,4.1340275,0.0,99.7
7,202206041640.nc,0.701313,1.5611719,0.0,98.39
8,202209090650.nc,0.3839496,2.0349038,0.0,99.799995
9,202206031330.nc,0.13355947,0.62939674,0.0,92.36
10,202207042050.nc,0.5087943,1.8817017,0.0,99.4
11,202208202130.nc,0.477492,3.857468,0.0,93.1
12,202307280850.nc,0.849996,2.7427998,0.0,99.7
13,202307070050.nc,1.3055453,5.3964925,0.0,99.7
14,202306201240.nc,0.48620456,1.968508,0.0,99.61
15,202107260850.nc,0.52103996,1.4267356,0.0,99.4
16,202306131350.nc,0.26159328,1.0010681,0.0,97.0
17,202207152240.nc,0.5921046,2.7991803,0.0,96.4
18,202107260740.nc,0.5401876,1.4506294,0.0,99.4
19,202207240830.nc,0.30872396,1.5290424,0.0,98.479996
20,202306221700.nc,0.5000156,1.925005,0.0,99.7
21,202308260110.nc,0.21134144,1.2229991,0.0,99.7
22,202206212210.nc,0.36667034,1.9417924,0.0,98.5
23,202106052320.nc,0.2682632,0.85101247,0.0,99.4
24,202306250730.nc,0.9263942,3.2575023,0.0,99.7
25,202307141400.nc,0.89848995,3.5217795,0.0,99.7
26,202306301730.nc,0.55493474,2.3620677,0.0,98.72
27,202106120620.nc,0.57134384,1.5394512,0.0,88.67
28,202207281610.nc,0.3478182,1.0515296,0.0,77.61
29,202207061930.nc,0.64937425,4.687034,0.0,99.17
30,202307191210.nc,0.8282082,4.3205876,0.0,98.03
31,202208221830.nc,0.5571729,2.2293022,0.0,99.06
32,202306121320.nc,0.18989107,0.86230063,0.0,91.02
33,202308111240.nc,0.23354909,1.6613575,0.0,99.7
34,202308152150.nc,0.3634263,1.5793507,0.0,99.7
35,202308050810.nc,0.5302388,2.8248348,0.0,98.18
36,202306270720.nc,0.26037464,1.5763268,0.0,98.75
37,202209010830.nc,0.80189353,3.0225747,0.0,99.799995
38,202106120310.nc,0.7050664,2.7933197,0.0,94.97
39,202307211740.nc,0.52014625,1.2225256,0.0,87.68
40,202206210950.nc,0.4043157,1.2440678,0.0,92.189995
41,202208260730.nc,0.32997322,2.5719523,0.0,99.56
42,202208151920.nc,0.8187595,3.6339984,0.0,99.7
43,202206270620.nc,0.9843942,2.1768343,0.0,95.799995
44,202206190700.nc,1.6608983,7.419583,0.0,99.34
45,202208280300.nc,0.19442494,0.93137574,0.0,90.06
46,202107071130.nc,1.2791672,5.2302217,0.0,96.1
47,202207041110.nc,0.9294892,4.0556245,0.0,99.159996
48,202107101850.nc,0.8132699,3.557816,0.0,99.4
49,202208011410.nc,0.17752682,1.8944203,0.0,99.7
50,202107181020.nc,0.42627764,1.9576787,0.0,91.509995
51,202207211920.nc,0.16779223,0.96748924,0.0,97.189995
52,202306032340.nc,0.11272814,0.69316286,0.0,87.38
53,202106270740.nc,0.8407682,2.092436,0.0,99.4
54,202307130100.nc,1.8211257,5.612031,0.0,97.479996
55,202209051810.nc,2.5736313,9.794858,0.0,99.799995
56,202208260500.nc,0.19403002,1.1661195,0.0,99.42
57,202106252300.nc,0.78302747,1.5267702,0.0,72.45
58,202207051130.nc,1.1266885,5.096831,0.0,96.4
59,202306031140.nc,0.1292331,1.0069354,0.0,98.1
60,202208060850.nc,0.4708511,2.0902202,0.0,99.53
61,202207150920.nc,0.87523925,4.452459,0.0,97.65
62,202208071530.nc,1.0190345,4.705594,0.0,99.049995
63,202306010440.nc,0.6203802,2.2815697,0.0,99.7
64,202207231500.nc,0.5169669,3.358758,0.0,99.7
65,202306290750.nc,0.8235923,3.2111022,0.0,99.68
